"","National Savings & Investments - Prize winners October 2021","","","","","",""
"","","","","","","",""
"","Prize Value","Winning Bond NO.","","Total V of Holding","Area","Val of Bond","Dt of Pur"
"","5000.0","276KX382520","","33070.0","North Yorkshire","10000.0","42560.0"
"","5000.0","48BN637489","","10000.0","Barnet","5000.0","35004.0"
"","5000.0","439QA549181","","8125.0","Cheshire","7075.0","44245.0"
"","5000.0","283EZ815195","","50000.0","Kent","45000.0","42647.0"
"","5000.0","354PL674873","","45775.0","Cheshire West and Chester","40000.0","43537.0"
"","5000.0","385MD631619","","10150.0","Devon","4150.0","43900.0"
"","5000.0","274NE252360","","41000.0","Manchester","41000.0","42529.0"
"","5000.0","438WR597088","","50000.0","Hertfordshire","20000.0","44241.0"
"","5000.0","349VS431071","","50000.0","West Yorkshire","50000.0","43483.0"
"","5000.0","86CC960029","","16145.0","Inner London","2000.0","36861.0"
"","5000.0","263HH413655","","49500.0","Edinburgh","24000.0","42369.0"
"","5000.0","429NS665307","","50000.0","Hereford and Worcester","12000.0","44194.0"
"","5000.0","242BF630302","","50000.0","Nottingham","4700.0","42080.0"
"","5000.0","389RW795650","","50000.0","Essex","29000.0","43938.0"
"","5000.0","441YN509807","","41300.0","Warwickshire","10000.0","44256.0"
"","5000.0","425HH302851","","50000.0","East Riding of Yorkshire","2000.0","44165.0"
"","5000.0","404WW638301","","50000.0","East Sussex","40959.0","44039.0"
"","5000.0","340RN053732","","28675.0","Hertfordshire","5900.0","43369.0"
"","5000.0","201QZ756544","","50000.0","Staffordshire","25000.0","41296.0"
"","5000.0","317EP164138","","50000.0","Central Scotland","20000.0","43067.0"
"","1000.0","176EG145115","","11325.0","Buckinghamshire","50.0","40534.0"
"","1000.0","12LL028853","","2766.0","Leeds","25.0","31229.0"
"","1000.0","129NW651486","","13180.0","West Scotland","5000.0","39275.0"
"","1000.0","384XE612052","","11000.0","North Yorkshire","11000.0","43892.0"
"","1000.0","110GL259965","","36875.0","Sheffield","5000.0","38855.0"
